category,item_name,inbound_qty,unit_price
CETAKAN,BAN UANG RP 50.000,5000,200.0
CETAKAN,BAN UANG RP 100.000,10000,200.0
CETAKAN,BATCH HEADER PUTIH,30,8000.0
CETAKAN,BATCH HEADER PUTIH,20,9500.0
CETAKAN,BATCH HEADER BIRU,50,9500.0
CETAKAN,BATCH HEADER HIJAU,50,9500.0
CETAKAN,BUKU TABUNGAN SIMPEDA,1000,1370.0
CETAKAN,FORM PERMOHONAN FASILITAS REKENING (E-CHANNEL),25,34500.0
CETAKAN,KCTT FOLIO,200,2500.0
CETAKAN,FORM KCTT 1/2 F,500,1500.0
CETAKAN,FORM DATA NASABAH (KYC),20,55500.0
CETAKAN,KOP SURAT HAL 1 BABEL,15,218500.0
CETAKAN,KOP SURAT HAL 2 BABEL,3,218500.0
CETAKAN,NOTA DEBET,50,36000.0
CETAKAN,PENARIKAN TABUNGAN,50,21000.0
CETAKAN,PERMINTAAN DANA KAS,50,24500.0
CETAKAN,SLIP KIRIMAN UANG,60,36000.0
CETAKAN,SETORAN NON TABUNGAN,205,29000.0
CETAKAN,SETORAN NON TABUNGAN,70,28750.0
CETAKAN,SETORAN NON TABUNGAN R5,45,45500.0
CETAKAN,SETORAN TABUNGAN,50,24500.0
CETAKAN,SLIP PEMBAYARAN STTS R-2,100,24500.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,90,46500.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,150,47000.0
CETAKAN,SERTIFIKAT PESIRAH RADEN,1100,2000.0
CETAKAN,PLASTIK PESIRAH RADEN,500,6000.0
ATK,KERTAS RECEIPT PRINTER ATM NCR 80*200MM,15,180000.0
ATK,KERTAS JURNAL PRINTER ATM NCR 80*80 MM,15,30000.0
ATK,KERTAS RECEIPT PRINTER ATM WINCORE,15,90000.0
