category,item_name,inbound_qty,unit_price
CETAKAN,BAN UANG RP 50.000,10000,150.0
CETAKAN,BAN UANG RP 100.000,15000,150.0
CETAKAN,BATCH HEADER BIRU,50,8000.0
CETAKAN,BUKU TABUNGAN SIMPEDA,9200,1370.0
CETAKAN,BUKU KASBON RANGKAP 3,50,13000.0
CETAKAN,FORM KSG R-2,10,48000.0
CETAKAN,KCTT FOLIO,500,1750.0
CETAKAN,FORM BENEFICIAL OWNER (BO),14,30000.0
CETAKAN,KOP SURAT HAL 1 BABEL,5,190000.0
CETAKAN,NOTA DEBET,50,31000.0
CETAKAN,PENARIKAN TABUNGAN,30,18000.0
CETAKAN,PERMINTAAN DANA KAS,100,21000.0
CETAKAN,SLIP KIRIMAN UANG,150,31000.0
CETAKAN,SETORAN NON TABUNGAN,50,25000.0
CETAKAN,SETORAN NON TABUNGAN R5,50,39500.0
CETAKAN,SETORAN TABUNGAN,125,21000.0
CETAKAN,PELUNASAN BPIH,25,46000.0
CETAKAN,SLIP PEMBAYARAN STTS R-2,250,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,445,40500.0
CETAKAN,SLIP PEMINDAH BUKUAN (OB),50,31000.0
ATK,KERTAS JURNAL PRINTER ATM NCR 80*80 MM,50,30000.0
ATK,KERTAS RECEIPT PRINTER ATM WINCORE,15,90000.0
