category,item_name,inbound_qty,unit_price
CETAKAN,AMPLOP  KACA BSB,10,160000.0
CETAKAN,AMPLOP  TANPA KACA BSB,10,150000.0
CETAKAN,AMPLOP SURAT PRIORITAS,150,12000.0
CETAKAN,MAP BSB PRIORITAS,125,18000.0
CETAKAN,BATCH HEADER HIJAU,50,8000.0
CETAKAN,FORM KCTT 1/2 F,1400,1000.0
CETAKAN,FORM DATA NASABAH (KYC),75,48000.0
CETAKAN,NOTA DEBET,48,31000.0
CETAKAN,PENARIKAN TABUNGAN,100,18000.0
CETAKAN,PERMINTAAN DANA KAS,50,21000.0
CETAKAN,SLIP KIRIMAN UANG,50,31000.0
CETAKAN,SETORAN NON TABUNGAN,150,25000.0
CETAKAN,SETORAN TABUNGAN,100,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R-2,50,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,100,40500.0
CETAKAN,SLIP PEMINDAH BUKUAN (OB),75,31000.0
CETAKAN,SERTIFIKAT PESIRAH RADEN,500,1500.0
CETAKAN,PLASTIK PESIRAH RADEN,300,5000.0
CETAKAN,BUKU DEKLARASI PENERIMAAN UANG ASKRIDA,5,16000.0
ATK,OVERLAY/SPECTROLINE,30,125000.0
ATK,KERTAS RECEIPT PRINTER ATM NCR 80*200MM,15,180000.0
ATK,KERTAS JURNAL PRINTER ATM NCR 80*80 MM,50,30000.0
ATK,KERTAS RECEIPT PRINTER ATM WINCORE,15,90000.0
