category,item_name,inbound_qty,unit_price
CETAKAN,BAN UANG RP 5.000,3000,150.0
CETAKAN,BAN UANG 2.000,3000,150.0
CETAKAN,BAN UANG RP 50.000,2000,150.0
CETAKAN,BAN UANG RP 100.000,5000,150.0
CETAKAN,BUKU TABUNGAN SIMPEDA,200,1370.0
CETAKAN,PENARIKAN TABUNGAN,50,18000.0
CETAKAN,PERMINTAAN DANA KAS,200,21000.0
CETAKAN,SLIP KIRIMAN UANG,90,31000.0
CETAKAN,SETORAN NON TABUNGAN,110,25000.0
CETAKAN,SETORAN NON TABUNGAN R5,100,39500.0
CETAKAN,SETORAN TABUNGAN,80,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R-2,50,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,250,40500.0
ATK,KERTAS KADO,175,9000.0
