category,item_name,inbound_qty,unit_price
CETAKAN,BAN UANG RP 50.000,10000,150.0
CETAKAN,BAN UANG RP 100.000,11000,150.0
CETAKAN,BATCH HEADER PUTIH,50,8000.0
CETAKAN,BATCH HEADER HIJAU,50,8000.0
CETAKAN,FORM KCTT 1/2 F,7000,1000.0
CETAKAN,FORM BENEFICIAL OWNER (BO),25,30000.0
CETAKAN,FORM DATA NASABAH (KYC),130,48000.0
CETAKAN,NOTA DEBET,50,31000.0
CETAKAN,PENARIKAN TABUNGAN,230,18000.0
CETAKAN,PERMINTAAN DANA KAS,100,21000.0
CETAKAN,PERMINTAAN DANA VALAS,25,21000.0
CETAKAN,SLIP KIRIMAN UANG,165,31000.0
CETAKAN,SETORAN NON TABUNGAN,300,25000.0
CETAKAN,SETORAN NON TABUNGAN R5,100,39500.0
CETAKAN,SETORAN TABUNGAN,200,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R-2,240,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,150,40500.0
CETAKAN,FORM PESIRAH RADEN,25,30000.0
ATK,OVERLAY/SPECTROLINE,40,125000.0
ATK,KERTAS RECEIPT PRINTER ATM NCR 80*200MM,15,180000.0
ATK,KERTAS JURNAL PRINTER ATM NCR 80*80 MM,50,30000.0
ATK,KERTAS RECEIPT PRINTER ATM WINCORE,15,90000.0
