category,item_name,outbound_qty,unit_price
CETAKAN,AMPLOP  KACA BSB,2.0,160000.0
CETAKAN,AMPLOP  TANPA KACA BSB,8.0,150000.0
CETAKAN,BAN UANG RP 5.000,3000.0,150.0
CETAKAN,BAN UANG 2.000,3000.0,150.0
CETAKAN,BAN UANG RP 50.000,4000.0,150.0
CETAKAN,BAN UANG RP 100.000,3000.0,150.0
CETAKAN,BAN UANG RP 10.000,2000.0,150.0
CETAKAN,BATCH HEADER PUTIH,20.0,9500.0
CETAKAN,BATCH HEADER BIRU,18.0,8000.0
CETAKAN,BATCH HEADER BIRU,4.0,9500.0
CETAKAN,BATCH HEADER HIJAU,25.0,8000.0
CETAKAN,BATCH HEADER HIJAU,4.0,9500.0
CETAKAN,BUKU TABUNGAN SIMPEDA,800.0,1370.0
CETAKAN,BUKU TABUNGAN PESIRAH,50.0,1390.0
CETAKAN,BUKU KASBON RANGKAP 3,10.0,13000.0
CETAKAN,FORM PERMOHONAN FASILITAS REKENING (E-CHANNEL),7.0,34500.0
CETAKAN,KCTT FOLIO,200.0,2500.0
CETAKAN,FORM KCTT 1/2 F,500.0,1500.0
CETAKAN,FORM PENUTUPAN REKENING,4.0,15000.0
CETAKAN,FORM DATA NASABAH (KYC),1.0,48000.0
CETAKAN,FORM DATA NASABAH (KYC),18.0,55500.0
CETAKAN,KOP SURAT HAL 1 BABEL,3.0,190000.0
CETAKAN,KOP SURAT HAL 1 BABEL,7.0,218500.0
CETAKAN,KOP SURAT HAL 2 BABEL,4.0,190000.0
CETAKAN,NOTA DEBET,15.0,36000.0
CETAKAN,NOTA KREDIT,10.0,30000.0
CETAKAN,PENARIKAN TABUNGAN,55.0,18000.0
CETAKAN,PERMINTAAN DANA KAS,96.0,21000.0
CETAKAN,SLIP KIRIMAN UANG,43.0,31000.0
CETAKAN,SLIP KIRIMAN UANG,35.0,36000.0
CETAKAN,SETORAN NON TABUNGAN,18.0,25000.0
CETAKAN,SETORAN NON TABUNGAN,182.0,29000.0
CETAKAN,SETORAN NON TABUNGAN,70.0,28750.0
CETAKAN,SETORAN NON TABUNGAN R5,31.0,39500.0
CETAKAN,SETORAN NON TABUNGAN R5,14.0,45500.0
CETAKAN,SETORAN TABUNGAN,24.0,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R-2,25.0,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R-2,60.0,24500.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,5.0,40500.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,30.0,46500.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,150.0,47000.0
CETAKAN,SLIP PEMINDAH BUKUAN (OB),9.0,31000.0
CETAKAN,SERTIFIKAT PESIRAH RADEN,1100.0,2000.0
CETAKAN,FORM PESIRAH RADEN,6.0,30000.0
CETAKAN,PLASTIK PESIRAH RADEN,500.0,6000.0
ATK,KERTAS RECEIPT PRINTER ATM NCR 80*200MM,10.0,180000.0
ATK,KERTAS JURNAL PRINTER ATM NCR 80*80 MM,34.0,30000.0
ATK,KERTAS RECEIPT PRINTER ATM WINCORE,8.0,90000.0
