category,item_name,outbound_qty,unit_price
CETAKAN,AMPLOP  KACA BSB,5.0,160000.0
CETAKAN,BAN UANG RP 5.000,1000.0,150.0
CETAKAN,BAN UANG RP 50.000,6000.0,150.0
CETAKAN,BAN UANG RP 100.000,7000.0,150.0
CETAKAN,BAN UANG RP 10.000,1000.0,150.0
CETAKAN,BATCH HEADER PUTIH,19.0,8000.0
CETAKAN,BATCH HEADER BIRU,29.0,8000.0
CETAKAN,BATCH HEADER HIJAU,45.0,8000.0
CETAKAN,BUKU TABUNGAN SIMPEDA,8450.0,1370.0
CETAKAN,BUKU TABUNGAN PESIRAH,150.0,1370.0
CETAKAN,BUKU KASBON RANGKAP 3,30.0,14000.0
CETAKAN,FORM PERMOHONAN ATM/SMS BANKING,2.0,30000.0
CETAKAN,FORM KSG R-2,10.0,48000.0
CETAKAN,KCTT FOLIO,500.0,1750.0
CETAKAN,FORM PENUTUPAN REKENING,5.0,15000.0
CETAKAN,FORM BENEFICIAL OWNER (BO),36.0,30000.0
CETAKAN,NOTA DEBET,50.0,31000.0
CETAKAN,NOTA KREDIT,3.0,30000.0
CETAKAN,PENARIKAN TABUNGAN,25.0,18000.0
CETAKAN,PERMINTAAN DANA KAS,87.0,21000.0
CETAKAN,SLIP KIRIMAN UANG,175.0,31000.0
CETAKAN,SETORAN NON TABUNGAN,70.0,25000.0
CETAKAN,SETORAN NON TABUNGAN R5,78.0,39500.0
CETAKAN,SETORAN TABUNGAN,120.0,21000.0
CETAKAN,PELUNASAN BPIH,25.0,46000.0
CETAKAN,SLIP PEMBAYARAN STTS R-2,223.0,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,405.0,40500.0
CETAKAN,SLIP PEMINDAH BUKUAN (OB),12.0,31000.0
CETAKAN,FORM PESIRAH RADEN,3.0,30000.0
ATK,KERTAS RECEIPT PRINTER ATM NCR 80*200MM,4.0,180000.0
ATK,KERTAS JURNAL PRINTER ATM NCR 80*80 MM,20.0,30000.0
