category,item_name,outbound_qty,unit_price
CETAKAN,BAN UANG RP 50.000,4000.0,150.0
CETAKAN,BAN UANG RP 100.000,3000.0,150.0
CETAKAN,BATCH HEADER MERAH,9.0,8000.0
CETAKAN,BATCH HEADER BIRU,20.0,8000.0
CETAKAN,BATCH HEADER HIJAU,10.0,8000.0
CETAKAN,BUKU TABUNGAN SIMPEDA,600.0,1370.0
CETAKAN,BUKU TABUNGAN PESIRAH,200.0,1370.0
CETAKAN,BUKU KASBON RANGKAP 3,9.0,13000.0
CETAKAN,FORM DATA NASABAH (KYC),52.0,48000.0
CETAKAN,KOP SURAT HAL 1 BABEL,12.0,190000.0
CETAKAN,NOTA DEBET,50.0,31000.0
CETAKAN,NOTA KREDIT,2.0,30000.0
CETAKAN,PENARIKAN TABUNGAN,48.0,18000.0
CETAKAN,PERMINTAAN DANA KAS,9.0,21000.0
CETAKAN,SLIP KIRIMAN UANG,109.0,31000.0
CETAKAN,SETORAN NON TABUNGAN,137.0,25000.0
CETAKAN,SETORAN NON TABUNGAN R5,70.0,39500.0
CETAKAN,SETORAN TABUNGAN,129.0,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R-2,160.0,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,327.0,40500.0
CETAKAN,SLIP PEMINDAH BUKUAN (OB),52.0,31000.0
ATK,KERTAS RECEIPT PRINTER ATM NCR 80*200MM,5.0,180000.0
ATK,KERTAS JURNAL PRINTER ATM NCR 80*80 MM,12.0,30000.0
ATK,KERTAS RECEIPT PRINTER ATM WINCORE,12.0,90000.0
