category,item_name,outbound_qty,unit_price
CETAKAN,AMPLOP  KACA BSB,3.0,160000.0
CETAKAN,AMPLOP  TANPA KACA BSB,2.0,150000.0
CETAKAN,AMPLOP SURAT PRIORITAS,150.0,12000.0
CETAKAN,MAP BSB PRIORITAS,125.0,18000.0
CETAKAN,BAN UANG RP 5.000,2000.0,150.0
CETAKAN,BAN UANG 2.000,2000.0,150.0
CETAKAN,BAN UANG RP 50.000,1000.0,150.0
CETAKAN,BAN UANG RP 100.000,5000.0,150.0
CETAKAN,BAN UANG RP 10.000,2000.0,150.0
CETAKAN,BATCH HEADER PUTIH,10.0,8000.0
CETAKAN,BATCH HEADER MERAH,5.0,8000.0
CETAKAN,BATCH HEADER BIRU,17.0,8000.0
CETAKAN,BATCH HEADER HIJAU,50.0,8000.0
CETAKAN,BUKU TABUNGAN SIMPEDA,400.0,1370.0
CETAKAN,BUKU KASBON RANGKAP 3,11.0,13000.0
CETAKAN,FORM KCTT 1/2 F,1400.0,1000.0
CETAKAN,FORM PENUTUPAN REKENING,3.0,15000.0
CETAKAN,FORM DATA NASABAH (KYC),75.0,48000.0
CETAKAN,KOP SURAT HAL 1 BABEL,4.0,190000.0
CETAKAN,NOTA DEBET,31.0,31000.0
CETAKAN,PENARIKAN TABUNGAN,51.0,18000.0
CETAKAN,PERMINTAAN DANA KAS,76.0,21000.0
CETAKAN,PERMINTAAN DANA VALAS,5.0,21000.0
CETAKAN,SLIP KIRIMAN UANG,40.0,31000.0
CETAKAN,SETORAN NON TABUNGAN,142.0,25000.0
CETAKAN,SETORAN NON TABUNGAN R5,35.0,39500.0
CETAKAN,SETORAN TABUNGAN,45.0,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R-2,37.0,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,125.0,40500.0
CETAKAN,SLIP PEMINDAH BUKUAN (OB),21.0,31000.0
CETAKAN,SERTIFIKAT PESIRAH RADEN,500.0,1500.0
CETAKAN,FORM PESIRAH RADEN,2.0,30000.0
CETAKAN,PLASTIK PESIRAH RADEN,300.0,5000.0
CETAKAN,BUKU DEKLARASI PENERIMAAN UANG ASKRIDA,5.0,16000.0
ATK,OVERLAY/SPECTROLINE,30.0,125000.0
ATK,KERTAS RECEIPT PRINTER ATM NCR 80*200MM,9.0,180000.0
ATK,KERTAS JURNAL PRINTER ATM NCR 80*80 MM,43.0,30000.0
ATK,KERTAS RECEIPT PRINTER ATM WINCORE,21.0,90000.0
