category,item_name,outbound_qty,unit_price
CETAKAN,AMPLOP  KACA BSB,7.0,160000.0
CETAKAN,BAN UANG 1.000,1000.0,150.0
CETAKAN,BAN UANG RP 100.000,2000.0,150.0
CETAKAN,BATCH HEADER PUTIH,7.0,8000.0
CETAKAN,BATCH HEADER HIJAU,20.0,8000.0
CETAKAN,BUKU TABUNGAN SIMPEDA,150.0,1370.0
CETAKAN,BUKU TABUNGAN PESIRAH BISNIS,100.0,3000.0
CETAKAN,BUKU TABUNGAN KU,50.0,990.0
CETAKAN,FORM PENUTUPAN REKENING,1.0,15000.0
CETAKAN,FORM DATA NASABAH (KYC),2.0,48000.0
CETAKAN,KOP SURAT HAL 1 BABEL,2.0,190000.0
CETAKAN,NOTA DEBET,27.0,31000.0
CETAKAN,NOTA KREDIT,1.0,30000.0
CETAKAN,PENARIKAN TABUNGAN,41.0,18000.0
CETAKAN,PERMINTAAN DANA KAS,144.0,21000.0
CETAKAN,PERMINTAAN DANA VALAS,5.0,21000.0
CETAKAN,SLIP KIRIMAN UANG,113.0,31000.0
CETAKAN,SETORAN NON TABUNGAN,92.0,25000.0
CETAKAN,SETORAN NON TABUNGAN R5,124.0,39500.0
CETAKAN,SETORAN TABUNGAN,122.0,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R-2,55.0,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,273.0,40500.0
CETAKAN,SLIP PEMINDAH BUKUAN (OB),21.0,31000.0
CETAKAN,FORM PESIRAH RADEN,1.0,30000.0
ATK,KERTAS RECEIPT PRINTER ATM NCR 80*200MM,4.0,180000.0
ATK,KERTAS JURNAL PRINTER ATM NCR 80*80 MM,16.0,30000.0
ATK,KERTAS RECEIPT PRINTER ATM WINCORE,3.0,90000.0
ATK,KERTAS KADO,175.0,9000.0
