category,item_name,outbound_qty,unit_price
CETAKAN,BAN UANG RP 50.000,10000.0,150.0
CETAKAN,BAN UANG RP 100.000,13000.0,150.0
CETAKAN,BATCH HEADER PUTIH,26.0,8000.0
CETAKAN,BATCH HEADER MERAH,7.0,8000.0
CETAKAN,BATCH HEADER BIRU,20.0,8000.0
CETAKAN,BATCH HEADER HIJAU,39.0,8000.0
CETAKAN,BUKU TABUNGAN SIMPEDA,300.0,1370.0
CETAKAN,BUKU TABUNGAN PESIRAH,150.0,1370.0
CETAKAN,BUKU KASBON RANGKAP 3,10.0,14000.0
CETAKAN,FORM KCTT 1/2 F,7000.0,1000.0
CETAKAN,FORM KCT GIRO,500.0,1750.0
CETAKAN,FORM BENEFICIAL OWNER (BO),3.0,30000.0
CETAKAN,FORM DATA NASABAH (KYC),130.0,48000.0
CETAKAN,KOP SURAT HAL 1 BABEL,5.0,190000.0
CETAKAN,NOTA DEBET,58.0,31000.0
CETAKAN,PENARIKAN TABUNGAN,230.0,18000.0
CETAKAN,PERMINTAAN DANA KAS,83.0,21000.0
CETAKAN,SLIP KIRIMAN UANG,166.0,31000.0
CETAKAN,SETORAN NON TABUNGAN,226.0,25000.0
CETAKAN,SETORAN NON TABUNGAN R5,52.0,39500.0
CETAKAN,SETORAN TABUNGAN,225.0,21000.0
CETAKAN,SETORAN AWAL BPIH,1.0,55000.0
CETAKAN,SLIP PEMBAYARAN STTS R-2,263.0,21000.0
CETAKAN,SLIP PEMBAYARAN STTS R.4,219.0,40500.0
CETAKAN,SLIP PEMINDAH BUKUAN (OB),28.0,31000.0
CETAKAN,FORM PESIRAH RADEN,6.0,30000.0
ATK,OVERLAY/SPECTROLINE,40.0,125000.0
ATK,KERTAS RECEIPT PRINTER ATM NCR 80*200MM,11.0,180000.0
ATK,KERTAS JURNAL PRINTER ATM NCR 80*80 MM,48.0,30000.0
ATK,KERTAS RECEIPT PRINTER ATM WINCORE,14.0,90000.0
